service_name,service_category
"Demi permanent color, Shampoo/style (relaxed short hair)",Hair Color
Touch Up-Box Braids,Braids
Full sewin no leaveout,Weaves
"Takedown, The Natural Hair ""BLOWOUT""","Natural Hair, Style"
"Hairline color/ hairline relaxer, Deep conditioning treatment",Hair Treatments
"Women's Cut, Wax Services",Women's Haircut
"Womens Colour OR Retouch with Haircut (No Foils), Brow wax",Eyebrows
"Pedicure, French gel polish",Pedicure
"Nape Relaxer, Shampoo and style",Sets & Styles
"Semi Permanent Color, Shampoo & Sets","Hair Color, Sets & Styles"
Eye Brow Waxing/Tweezing,Eyebrows
Brazilian-Full Growth,Waxing
"partial color, womens cut","Hair Color, Women's Haircut"
"All over color (base color+glaze), Olaplex treatment., Extra chemical",Hair Treatments
"Back Wax, Chest Wax, Full leg wax, Manzilian, under arm wax, Full Arm Wax",Waxing
"Quick weave, Kids styles",Weaves
"Protein Treatment, Basic Shampoo/Style",Hair Treatments
After 5 services get 6th one FREE!,"Eyelashes, Women's Haircut"
"Shampoo and Conditioner, Cornrows On Natural Hair",Braids
"all over single color, Color Toning /Glazing, Cut with Color",Hair Color
"Relaxer- Retouch, Detox",Relaxers
"Cut Down, Repair (Medium), Polish Change, Classic Pedi",Manicure
“Nahja Braids”Small  below waist length,Braids
"Base, Women's Cut, Blender, Brows",Women's Haircut
"Basic Wash & Blow Dry (Quick Servic, All Over Color","Style, Hair Color"
1 Nail repair,Manicure
Eye brow Wax,Eyebrows
"Women's Cut, Relaxer touchups, Haircolor (rinses)",Women's Haircut
"""Glam Lux"" straightening",Highlights
"Single process, Blowout, Gloss","Hair Color, Style"
"Glowzilian Sugaring, Half leg wax",Sugaring
"Silk Out (kids), Tame My Ends (Trim), Silk Out","Natural Hair, Women's Haircut"
"Face Frame Balayage & Women's Cut, Color Glaze","Highlights, Women's Haircut"
"Manicure - Soak Off / Removal, Acrylic  w/ gelpolsih",Manicure
"braids & Beads, Children's hair trim, Combing out",Women's Haircut
"Crochet Braids, Braids removal  with hair added",Braids
"Loc Tightening, Loc style",Locs
"Eyelashes up to 4 weeks, Shampoo & blow dry",Sets & Styles
"16 Inch Virgin Hair, Partial Sew-In  W/Shampoo",Weaves
Men's specialty Cut w/ facial hair,Men's Haircut
"basic nail fill, partial highlights",Highlights
"Adult Men's Cut, Beard service, kids services(ages 9 thru 16)",Men's Haircut
Cornrows/Feed-in,Braids
Yarn Braids,Braids
"Shampoo and Style, Hot oil treatment","Sets & Styles, Natural Hair"
"Women's Cut, Brow",Women's Haircut
"Full Relaxer and Style, Rinse",Sets & Styles
"Root touch up, Half head, Ola plex, Women's Cut","Hair Color, Women's Haircut"
"Gel Manicure, Soak Off for Acrylic",Manicure
"Women’s Dry Cut, Chin Wax, Color Root Touch Up","Women's Haircut, Waxing, Hair Color"
"Bleach and Tone, Extensions","Hair Color, Extensions"
"Women's Cut, Full Color, Manicure, Face wax",Women's Haircut
NEW client Classic Full Set,Eyelashes
"Full Body Wax, Stomach Wax, Butt Cheek Wax",Waxing
"Toner, Women's Cut, Olaplex","Hair Color, Women's Haircut"
Silk Press Shoulder Length and Above On Natural Hair,Natural Hair
"Coil Out  (for Max Curl Definition), Scalp Detox Treatment, Mister  Hydration Treatment","Braids, Hair Treatments"
Eyelash Fill In (2-3 weeks),Eyelashes
"silk press, Trim, braid style",Natural Hair
"Add on Take down, Add on Hydrating Treatment, Partial Sew In","Weaves, Hair Treatments"
"Women's Haircut, Brazilian Blowout",Straightening Treatments
"Cut and Color, Brazilian, Brow Wax",Eyebrows
"Partial Highlights, Women's Cut & Blowrdy",Highlights
"Full Color, lip wax, Women's Cut, Olaplex repairative treatment, shampoo & style","Waxing, Women's Haircut"
Allergy Test/Trial,Eyelashes
"Demi/Toner, Shampoo & Style","Hair Color, Sets & Styles, Style"
"Basic Style & Permanent color, Permanent Color",Hair Color
Import your clients!,Sets & Styles
"All Over Color, Cut with color","Hair Color, Women's Haircut"
Josh Walker Fade w/ razor edge up,Barber
Cornrows Feed In (4-8 braids),Braids
Bill Pony,Style
"Fill Color Powder, Pedicure","Manicure, Pedicure"
"Balayage Highlights {Partial}, Women's Cut",Women's Haircut
Kids special haircut,Barber
"Shampoo & Style, Rinse, Women's Haircut",Sets & Styles
"Single process color, Men's Haircut",Hair Color
Bleach Tips,Hair Color
"Full Color and Cut, Women's Cut",Women's Haircut
"Haircut & style, Partial highlight, Keratin Treatment",Straightening Treatments
7-8 Feed-In Braids,Braids
"Brow Wax, SPECIAL Spray Tan",Eyebrows
"DEPOSITS ARE  REQUIRED, Box braids",Braids
"Silk wrap, Deep condition",Sets & Styles
"Full Set, Pedicure","Extensions, Pedicure"
"Full Sewn Weave, Sew-in Removal",Weaves
Relaxer Retouch and Style,Relaxers
"Silk Out, Add on Steam  Rebuild Treatment","Natural Hair, Hair Treatments"
"Womens Brazilian, Stomach strip, Womens Leg lower",Waxing
"Hybrid Natural Lash Refill, Threading - Brows, Brow Tint",Eyebrows
"All over color + Style, Olaplex Add On, Women wet cut",Hair Color
Men’s shape up,Men's Haircut
"Menz Hc, Lip wax",Waxing
"RELAXER RETOUCH, Surcharge/Convenience fee, LONG HAIR CHARGE",Relaxers
JUNEPROMO,"Hair Treatments, Highlights, Women's Haircut"
"Mens cut w/ enhancement  ""MOST POPULAR""","Hair Color, Men's Haircut"
Natural Hair Silkening,Style
"Bleach retouch and Tone, women's haircut",Hair Color
"blowout, manicure, color",Style
"Silk Press and Style, Semi permanent color",Hair Color
Shampoo,"Sets & Styles, Women's Haircut"
Shampoo & style,Style
"Pedicure, Acrylic Fill-In, Nail Repair, Nail Art","Pedicure, Manicure"
"Extension Shampoo Style, Additional",Style
"shampoo & Set, protein treatment",Hair Treatments
Sew In Partial,Weaves
Gel Mani & simple art,Manicure
Double Process color,Hair Color
"Color retouch, Lip wax",Waxing
"Extensions, Full Balayage","Extensions, Style, Highlights"
"Partial Highlights, Hair Cut and simple style",Highlights
Adult Regular Cut  plus Beard,"Barber, Men's Haircut"
"Balayage/Ombré, Women's Cut",Women's Haircut
"Eyebrow Wax & Tinting, Lip Wax, Eyelash Tint","Eyebrows, Waxing, Eyelashes"
"Partial Foil, Womens cut",Women's Haircut
"Relaxer touch up, Color rinse",Relaxers
"Extended bikini sugar, UnderArm Wax, Bio Caviar Creme, C plus lemon peel serum, Pumpkin enzyme mask 5%",Waxing
"Pedicure, Gel Nails Rebase",Pedicure
"Shampoo & Style, Trim","Sets & Styles, Women's Haircut"
"Mood Changing Fill, Gel Pedicure","Skincare, Pedicure"
"Individual Cluster Lashes, Signature Brow Wax & Tint","Eyelashes, Eyebrows"
"Feed in braids, Wash and condition",Braids
Fill (extensions or overlay),Manicure
"Foil, Cellophane, Men's Cut",Men's Haircut
"Fill-in acrylic, Paint Designs",Manicure
"Men's Cut, Men's Color service","Men's Haircut, Hair Color"
"Women's Hair Cut, Extension Installation","Women's Haircut, Extensions"
Long layers (Only),"Style, Women's Haircut"
Just trim,Women's Haircut
"Manicure - Soak Off / Removal, Gel Mani/ Pedi",Manicure
"Root Touch Up, Reshape/Hair cut",Hair Color
Invisible part sewin,Weaves
"Full Highlights, Women's Cut and Style","Highlights, Women's Haircut"
"Braids (natural hair), Shampoo and style","Braids, Sets & Styles"
Frontal/closure Sew in (CASH ONLY),Weaves
"Partial Highlights, Hair Cut, Brow Wax","Highlights, Eyebrows"
"Color Refresh, Express Highlight as an add on, Men's Cut",Men's Haircut
"Woman's Haircut, All over color",Hair Color
color (single process),Hair Color
"Balayage, Custom Highlight, Touch up, and Haircut",Highlights
"Pink n White Fill - PINK ONLY, Matching Toes","Manicure, Pedicure"
Perm Rod with style,Sets & Styles
"Eyebrow Tinting, Brow Wax",Eyebrows
"All Over Color, Haircut with Color Service, Partial Highlight",Hair Color
"locks shampoo re-twist & styles, Semi Permanent Color",Hair Color
"Derma Pen, One Skin Tightening",Skincare
"Starter Locs, Rope Twist on Short Locs",Locs
Invisible part sew in(glue used for the part),Weaves
"Traditional Sewin, Women's Trim","Weaves, Women's Haircut"
"Shellac, Shampoo and style","Manicure, Sets & Styles"
"Bang Trim, Eyebrow Tint & Wax, Partial Highlights","Women's Haircut, Highlights"
Line Up + Face,Barber
"Haircut and Full Highlights, Olaplex Treatment, Color toner",Hair Treatments
"Relaxer retouch and color rinse, Spiral set",Natural Hair
"Pre-Paid Keratin Treatment, Toner",Hair Color
"Gel Nails, Polish change",Manicure
"Double Process Color, HAIRCUT OR TRIM, AWG KERATRIPLEX",Hair Color
"Adult Line up, Kid's Line up",Barber
"Relaxer, Demi Rinse, HairKut","Relaxers, Women's Haircut"
"Silk Press, End trimming",Natural Hair
"Haircut Only, Root Touch Up",Hair Color
"single process lightening, All Over Color",Hair Color
"Permanent Color, Standard Silk Press w/deep conditioning",Hair Color
"Full set, Junk Nail (medium)",Extensions
1 Week Classic Lash fill,Eyelashes
"Natural Hair Press and Silking, Deep Treatment, Trim","Hair Treatments, Women's Haircut"
"Color, Shampoo, Cut  & Style, Flat Iron","Women's Haircut, Style"
"Women’s Brazilian Wax, Brow Wax",Waxing
"Haircut, Highlights/Lowlights-Partial","Women's Haircut, Highlights"
"Partial Brazilian, Underarm Wax, Brow Wax","Waxing, Eyebrows"
"Roller set, Primer 11",Sets & Styles
"Kids Regular, Neck Trim",Men's Haircut
"Full Foil Highlights, Additional Color weave",Highlights
"Nail Art, Glitter nail, nail embellishment refill",Manicure
"Wand / Barrel Curls, Box Braids","Style, Braids"
Buzz cut (single guard all over),Barber
"youth cut, Women's cut",Women's Haircut
"Straightening, Lace Frontal touch up",Chemical Perms
Full Head Install,"Weaves, Women's Haircut"
"Color Root Touch-up, Partial Hightlight, Mens Cut",Men's Haircut
"Shampoo/Style, Makeup Application",Makeup
"Partial Balayage Retouch, Toner, Women's  Cut, Redken Chemistry Treatment","Highlights, Hair Color, Women's Haircut"
"Classic Fill Eyelashes, Lash tint",Eyelashes
"Women's Cut, Full Color, Brow & lip",Women's Haircut
Frontal sewin install,Weaves
"Instant Express Blowout, Trim",Straightening Treatments
"Pedicures, Shellac, Eyebrow Design, Lip or Chin",Manicure
"Gel Pedicure, Gel polish Removal",Pedicure
Mini lights,Highlights
Front Lace Closure( 4x4),Weaves
"Added Extensions - per track, Trim (along with other service)","Weaves, Women's Haircut"
Crochet - PreCurly/Wavy Hair,"Braids, Extensions, Sets & Styles, Style"
"Large/Jumbo Box Braids, Strip Lashes","Braids, Eyelashes"
"Crochet Braids, Shampoo + Treatment","Braids, Hair Treatments, Natural Hair"
"Gel Manicure, 2 Accent Nail Designs",Manicure
Hybrid Eyelash Fill week 1-3,Eyelashes
"Hair Cut and Style, Root touch up, Full Highlight","Women's Haircut, Hair Color, Highlights"
"Dermaplane Exp., Microdermabrasion Add On",Skincare
"$65 Cut & Color Combo, Brow Shaping",Eyebrows
"Enhancements, Beard Trim",Barber
"Brazilian Wax, Eyebrow Shaping, Half Leg wax","Waxing, Eyebrows"
"Fill-In Acrylic, Nail Art, Toe Polish Change",Manicure
"Partial  (top), Toner",Hair Color
"Semi Color, Virgin  Relaxer, Hair Cut","Hair Color, Relaxers, Women's Haircut"
"Flat Iron, Trim",Style
"Crochet Braids, Shampoo with extensions",Braids
"Hair Cut, Color Refresh",Women's Haircut
"color retouch and cut, full face wax",Waxing
"Brow Wax, Under Arm Wax","Eyebrows, Waxing"
"relaxer touch up, Hair cut and style",Relaxers
natural silk press with trim,Natural Hair
"wrap and curl, semi permanent color",Hair Color
Wig Braid Down,Braids
"Women's Cut And Blow dry, Men's Cut",Men's Haircut
"Body Wax, Eyelash Extensions",Eyelashes
"Silk Press, Add on color retouch",Natural Hair
Deposit(Please read before booking),Weaves
"Wed Special Feed In Braids 5-8, Cornrows",Braids
"Silk press, Hair Cut, rinse/semi-permanent color, Brow Wax","Natural Hair, Eyebrows"
"Partial Highlight with color, Women's Cut",Women's Haircut
"Women's Cut, Blowout, Conditioning Treatment","Women's Haircut, Style"
"Fill in, Shape Change",Manicure
"Ombre, Hair Cut",Highlights
"Gel polish, Nail Repair",Manicure
Flat Twist Updo with hair added,Braids
Medium-sized Box Braids,Braids
"Crotchet Takedown, Color Rinse, Deep Conditioning",Braids
"Gel Manicure, Cuticle Oil",Manicure
"Men's Cut, Lines,Parts Hair design.",Men's Haircut
Men's Cut w/facial hair,Men's Haircut
"Base Color, Women's Cut, Additional Color",Women's Haircut
"Partial Hilites, Base Color, Shampoo & style",Highlights
Shampoo and style',Sets & Styles
"Base Color, Brazilian Blowout, Women's Cut & Style",Straightening Treatments
Style Take Down (Includes Shampoo),Style
Volume Eyelash Full Set 2D / 3D  lash set,Eyelashes
"Full Balayage, Women's Cut, Olaplex","Highlights, Women's Haircut"
"Color Touch-Up, Highlights, Toner, Blowout","Highlights, Hair Color, Style"
Removals,Natural Hair
"Full Sew in, Extension removal",Weaves
"Lash Lifting, Add of tint with lash lift, Brow wax, Brow Tint",Eyebrows
"Bikini, Brow Shaping, Under arms",Eyebrows
"Double process color, $25 Tuesday Special(EVERY TUE)",Hair Color
"Cornrows, natural hair Wash",Braids
Permanent Color (Single Process),Hair Color
"Balayage, shampoo,blow out &style",Highlights
"Keratin  Straightening Treatment, Additional Product Charge (1)",Straightening Treatments
Large/jumbo Box Braids,Braids
Full Sew In (with or without top closure),Weaves
Cut,Women's Haircut
Hybrid Set,Eyelashes
Basic Spa Facial,Skincare
"Individual eyelashes, Natural Hair Straightening",Extensions
"Shampoo and Style (Flat Iron), Hair color (Demi-permanent), Deep Conditioning treatment",Hair Treatments
Renew Virgin Hair,Weaves
DRAMATIC FULLSETS,Eyelashes
"micro facial package, brow tint, Brow Wax, lip wax","Eyebrows, Waxing"
Frontal Quickweave,Extensions
"Women's Cut, HAIR COLOR (ONE PROCESS )",Women's Haircut
"Bridal makeup, Bridal Updo",Special Occasion Makeup
Shampoo extensions and re- bonding lace frontal/closure,Style
"Color, Blowout",Style
"Shampoo, Retwist, Basic Style Back (Above Midback)",Locs
"Protein Treatment, Women's Trim, Edge-Up, Bonded Tracks","Hair Treatments, Barber"
"Adult Relaxer, Women's Cut",Women's Haircut
"Color, haircut and highlights, Child's Haircut, Eyebrow Shaping",Eyebrows
Women's Haircut (existing clientele only),Women's Haircut
"Shampoo/Style, Express Pedicure, Tape in Basic Extensions",Extensions
Natural Wash’n Go,Natural Hair
"Brow Wax, Manzilian, Nose Wax, Ear Wax","Eyebrows, Waxing"
Classic Eyelash Fills,Eyelashes
"Shampoo/Style, Trim, Eyebrow Wax",Eyebrows
"Women's Cut, Base Color, Top Highlight",Women's Haircut
"Scalp Treatment, Ponytail w/ Bang",Hair Treatments
Versatile sew in,Weaves
"Acrylic Soak Off / Removal, Acrylic Fill",Manicure
Med Side Feeders/ Lemonade Braids,Braids
"Teens 13 & up, Men haircut & shave",Barber
Full face wax,Waxing
"Moisturizing Deep Conditioner, Blowout",Style
"Partial highlight, Olaplex Treatment, Trim(Add on service)","Highlights, Women's Haircut"
"Shampoo Sewin & Curl Up to 20In, Eyebrow Arching, Sewin Tightening Only",Weaves
"Dye and fly, Womens Cut",Women's Haircut
Customized Frontal Install,Weaves
"Ear Wax, Nose Wax",Waxing
Customized brow tint,Eyebrows
"Eyebrow Shaping, Underarm Wax, Bikini Brazilian, Lip Wax","Eyebrows, Waxing"
"Men's Cut, Women's Cut and dry",Men's Haircut
"Eyebrow Wax/Tweezing, Microdermabrasion",Skincare
Medium Feed in Ponytail/Read Info Section($20 DEPOSIT),Braids
"Natural Girl Shaping, Semi permanent color","Women's Haircut, Hair Color"
"Haircut & Style, Men's, Brow Wax",Eyebrows
Rezenerate,Skincare
Appointments  $5 extra,Men's Haircut
SMALL PLAITS WAIST LENGTH,Braids
Invisible Part Sew In,Weaves
"Updo, Make Up","Style, Makeup"
"Eyebrow Waxing, Lip wax or treading",Eyebrows
"Touch-up, Semi color",Sets & Styles
"Crown or Partial Highlights, Women's Cut, Few highlights",Women's Haircut
"Handpainting Balayage, Toner",Hair Color
"Limited Promo Shellac Pedicure, Limited Promo Full Set & Gel Polish","Pedicure, Manicure"
"Quick Weave, Women's Trim","Weaves, Women's Haircut"
"pw/hc, Men's Cut, kids",Men's Haircut
Bundle Deals,Style
"Women's Haircut, Clarifying treatment",Hair Treatments
Sew-In Tighting,Weaves
"Full Set, Brows",Extensions
Haircut NO BEARD,Men's Haircut
"Natural BLOW OUT with Ceramic Press, Deep Conditioning & Wash","Natural Hair, Style, Hair Treatments"
"Brazilian, Full leg wax, Lip and brow wax",Waxing
"Single application color, Keratin Treatment",Straightening Treatments
"Kid cut, Brow Wax",Eyebrows
"PERMANENT COLOR, BOUNCY BEAUTY CURL",Hair Color
"Root touch up, Extension installation",Hair Color
60 Min Massage,Massage
"Classic Blowout, Steam Infusion Flatiron add on, Bang/ Neck Trim","Style, Women's Haircut"
"Gel Fill, Polish Change, Nail Repair",Manicure
"Kid styles, Travel Fee",Special Occasion Style
"Crochet Braids, Braid takedown",Braids
"single color, womens hair cut, brow wax",Eyebrows
"Lip Wax, Full Color, 10-15 Foil Highlights, Women's Cut","Waxing, Hair Color, Highlights, Women's Haircut"
"Gel Manicure, Gel Removal, Toe Polish Change",Manicure
"Harris Silk Out (Press) w/Trim, COMB OUT FEE",Natural Hair
"Silk Press/Blow Out, Semi-permanent color",Hair Color
Basic Braid Style w/o Hair Added,Braids
"Shampoo, thermal straightening, Perimeter rinse",Hair Color
Neck Back & Shoulder Massage,Massage
"Crochet Braids, Dreadlocks retwist",Braids
"All over color, Haircut, Root touch-up",Hair Color
Senior Men's Cut,Men's Haircut
"ReFill Short/Medium, Nail Art",Manicure
"Eyebrow Wax, Full Face Wax","Eyebrows, Waxing"
"Full Color, Women's Cut, Additional color",Women's Haircut
Men's Cut-Bald,Men's Haircut
"RETOUCH RELAXER + Style  below, POST- RELAXER treatment + on, SILK WRAP shoulder length","Relaxers, Hair Treatments, Sets & Styles"
"Facial, Men's Haircut not face",Skincare
"Treatment, Cornrows",Braids
Men's Grooming,Men's Haircut
"Brow wax, Chin waxing",Eyebrows
"Brow/Lip, Chin Wax",Waxing
"Bonded Weave, Relaxer Retouch",Relaxers
adult basic haircut + mustache trim,Men's Haircut
"Gloss, Haircut","Hair Color, Women's Haircut"
"Women’s Shaping w/wash, Men's Shaping w/wash","Women's Haircut, Men's Haircut"
"shellac manicure, pedicure",Pedicure
"Nail Polish change w/design, Strip Lashes, Swarovski Stone/3D/Swirl Nailz",Eyelashes
"Traditional Sew In, Flat Iron","Weaves, Style"
"Women’s cut, Eyebrow Wax",Eyebrows
"Brazilian Wax, Eyebrow Wax, Lip","Waxing, Eyebrows"
"Partial color, Retouch Relaxer",Hair Color
"Base color, Chemistry shot, Women's Cut, Color gloss, Eyebrow wax, Chromatics, Brow tint","Women's Haircut, Eyebrows"
"Agave and Lavender Silk Press, Trim",Women's Haircut
"Natural shampoo and go, Deep Conditioning Treatment",Hair Treatments
"Waist Length Box Braids, Saturday Appointment- Charlotte Location",Braids
3 to 6 stitched feed in braids (waist length),Braids
Shampoo and retwist,Locs
Short hair Women's Cut,Women's Haircut
"Single process color, Women's haircuts, Adding olaplex to color service",Hair Color
Shampoo/maintenance/style,"Locs, Style"
"Silk Press, Cut w/chemical service",Natural Hair
"Pedicure, Social media Special Gel Acrylic Fill, Bling Nails 2 nails add on","Pedicure, Manicure"
"Men's Cut, NATURAL HAIR  (Dreads\Locks)",Men's Haircut
"Men's Haircut, Beard trim",Barber
"Signature Silk Press, Rinse",Natural Hair
"Partial Balayage Highlight, WHC","Highlights, Women's Haircut"
"Women's Cut, Woman's blow dry thermasmooth system mid back length",Women's Haircut
Root touchup,Hair Color
"Eyelash Extensions 5+ week, Eyebrows Wax/Shaping, Eyebrow Tinting",Eyebrows
"Rollerset, Shampoo and go",Sets & Styles
"Full Highlight + B3 & Base Root Touchup, Women’s Haircut w/purchase of color service","Hair Color, Highlights, Women's Haircut"
"Full Sew-in, Demi, Color weave","Weaves, Hair Color"
"Silk Press, Hair Tint","Natural Hair, Hair Color"
"Full Color, Women's Cut, Add on 2nd color",Women's Haircut
"Ombré/Balayage, Toner, Full Color",Hair Color
Reiki,Massage
Trim/ natural Silk Press,Natural Hair
"Acrylic Refill (4 weeks & over), Toes Cleaned up & Polished, Nail Repairs (2)",Manicure
Full-Set Eyelash In-Fill,Eyelashes
"Women's Haircut, Balayage, Malibu",Highlights
"Guys Full Back Wax, Guys Other ""Cheeks"" & Crack",Waxing
"Brow wax & tint, Lash tint",Eyelashes
"Relaxer, Bonded tracks","Relaxers, Extensions"
"Men's Crew Cut, Women's Cut",Women's Haircut
Natural (min leaveout)Sew In,Weaves
"Supreme Enzyme Facial, Lip wax","Skincare, Waxing"
"Sewin removal, Press & Curl, Brow wax",Eyebrows
"Permanent Color, Trim(ends )",Hair Color
Box Braids,"Braids, Twists"
Fill,Manicure
Plaited Bob,Braids
"Ideal Facial, Back Facial",Skincare
UNDERCUT W/DESIGN,Women's Haircut
"Crochet, Hair Purchase",Braids
Twist-In medium sections (flat),Twists
"All Over Color, Root Retouch",Hair Color
"Polish Change, Dip Color Acrylic Overlay, Gel Soak off, Tip repair acrylic",Manicure
"Shampoo and condition, Blow out",Style
Polish change,Manicure
"Lift and tone, Designer Style",Style
"Shampoo and style, Semipermanent color/rinse",Sets & Styles
"Women's Cut, Keratriplex Protein Treatment","Women's Haircut, Hair Treatments"
Knotless box Braids(midback),Braids
"Flat iron service (natural hair), Hair trims for women",Women's Haircut
"Gel polish only, Polish Change (feet)",Manicure
"Silk Press, Re-Builder",Natural Hair
Blowout | NO chemicals,Style
"Crochet Braids, Hot oil conditioning treatment",Braids
"Refill 2-4 weeks, Repair, Gel polish w/ fullset or fill, Stones & Jewels on Nail (per nail)",Manicure
"Acrylic Full Set w/Nail Art, Pedicure",Pedicure
"Partial highlights, Haircut with color service",Highlights
"Basic bikini wax, Underarm Wax",Waxing
Eyes Only/W light Foundation/ Without lashes,Makeup
Consultation-First Time Clients Book W/Service,Eyelashes
"Polish Change, Full set Acrylic",Manicure
"Braidless sew in ( Malaysian), Lowlights","Weaves, Highlights"
60 min Fill,Eyelashes
Loc retwist only no style,Locs
"Women's Cut, Kid's Cut (10 & Under)",Women's Haircut
"Root Touch-up with a Top Foil, Women's cut, Olaplex Treatment","Women's Haircut, Hair Treatments"
"Kenra Color Express, Lip Wax, Eye Brow Arch",Waxing
Prom Makeup w| Glitter,Makeup
"Brazilian Wax, EyeBrow Tweeze","Waxing, Eyebrows"
"Hair treatment, Toner",Hair Color
"brazilian blowout, color touch up",Straightening Treatments
"Loc  Maintenance/Retwist, Loc Style",Locs
"Ends Trim, Balayage",Highlights
"Quick Weave, Conditioning treatment",Weaves
"Polish Change, Manicure, Nail strengther",Manicure
"Gel soak, Pedicure, Kristal's Extra Special",Pedicure
Feedin Braids (Natural Hair),Braids
"Medium feedin ponytail braids, Shampoo add on to service",Braids
"Color Retouch, Eyebrow Wax, Bang trim","Eyebrows, Women's Haircut"
Grooming Experience,Men's Haircut
Fashion Shades,"Hair Color, Highlights"
"Takedown & Cleanse, Lace Closure Sew In Weave, Deep Conditioning Treatment",Hair Treatments
"Gel Manicure, Eyebrow Wax","Manicure, Eyebrows"
"Relaxer, Feed in Braids",Relaxers
Keratin treatment,Women's Haircut
Two Strand Flat Twist,Natural Hair
"Strip Lashes, Lashes Provided",Eyelashes
"Take out weave, Feed in Braids, Trim",Braids
lil’ flirt Full Set,Eyelashes
Regular Men's Cut,Men's Haircut
"Express facial, Microdermabrasion, Airbrush Tan",Skincare
"Full Highlights, Women's Cut with Color",Highlights
Indv. Goddess Faux Locs,Braids
"Natural Silk Press, Additional charge for length, Deep conditioning treatment, Haircut with additional service",Hair Treatments
Tapered cut w/ design Your Curls,Natural Hair
"Full Set of Mink Extensions, Lash extension removal",Eyelashes
"Full Weave, Takedown, Hair Tint","Weaves, Hair Color"
"No Chip Manicures, Spa Pedicure",Pedicure
"Men's Cut, Break the Base/Glaze",Men's Haircut
4+ Feeder Braids,Braids
Color - Roots Only (With Haircut),"Hair Color, Women's Haircut"
"Ombre/Balyage, Women's Haircut/ Blowdry","Highlights, Women's Haircut"
"Shampoo & Style (RELAXED HAIR ONLY), Permanent  Color",Hair Color
Hot Towel Shave,Barber
Fill for 2 weeks,Eyelashes
"Traditional Sew-in with net, Individual Lashes",Eyelashes
"Color and Cut, Relaxer",Relaxers
"Inoa, Partial Highlights (Regular), Lowlights, Toner","Highlights, Hair Color"
"Crochet Braids, Basic wash",Braids
"Partial Balayage, Women's Hair Cut & Style, Smoothing Treatment","Highlights, Women's Haircut, Hair Treatments"
"Pin Up style, Relaxer retouch",Relaxers
"Color and cut, Eyebrow Shaping",Eyebrows
"Root Touch-up Color, Hair Extension Application, Women's Cut",Women's Haircut
Invisible ponytail,Extensions
"Beard Trim, Adult's haircut",Barber
Clipper Hair Cut,Men's Haircut
"Deep Conditioning Treatment, Takedown","Hair Treatments, Weaves"
"Highlight, Toner, Brow waxing",Hair Color
Lace Frontal/Closure Sew In,Style
"Polish change, Basic Mani",Manicure
Extreme Eyelash Extensions,Eyelashes
"Deminsional Color and Highlights, Women's Cut",Women's Haircut
"Relaxer Touch-Up, Trim, Rinse","Relaxers, Sets & Styles"
"Take Down, Braids with No hair added, Natural Style","Braids, Natural Hair"
"Artificial acrylic fill, Polish Change",Manicure
"Highlights - partial, Women's Cut",Women's Haircut
NATURAL Full Set,Eyelashes
Men’s cut,"Barber, Men's Haircut"
Lace frontal sew in,Weaves
Loc Interlocking Maintenance,Natural Hair
"Scissor cut + heat styling short, Relaxer touch up",Relaxers
"Fill in custom acrylic, Pedicure",Pedicure
"All Over Color/Style, Women's Cut",Women's Haircut
"Acrylic Fill, Chrome/ holo, Swarovski Crystals",Manicure
Full Set With Gel Polish And Shape(DEPOSIT REQ.),Manicure
"Flat Iron, Sides/Nape","Style, Women's Haircut"
"Women's Cut, Eyebrow Waxing, Chin, lip",Women's Haircut
"Spa Pedicure, Gel Manicure","Pedicure, Manicure"
"Balayage w/ Cut & Style, Toner, Extra Time",Hair Color
Color touch up,Sets & Styles
"Full Sew-in, Hair cut",Weaves
"Full Relaxer Retouch/Style, Demi permanent color",Hair Color
Root Touchup and Haircut,Hair Color
Frontal Install (ATL),Weaves
"Baby doll  Lash lift and  tint, Brow Wax",Eyebrows
Vivid Color Highlights,Hair Color
"Brow Sculpting & Brow Tinting, Lip Wax",Waxing
"All Over Color, Haircut with any color service",Hair Color
"Full Relaxer Retouch & Style, Style",Style
"Loc Repair, Interlock Loc Maintenance",Locs
"Full Color/Cut, Brow Wax",Eyebrows
"Full Highlight, Toner, Haircut with purchase of a color, Partial Highlights","Hair Color, Highlights"
"Women’s Wet Cut with service, Partial Foil Highlights","Women's Haircut, Highlights"
Dipping for natural nails,Manicure
Full Balayage X-Long length,Highlights
"SIlk Press, Credit card fee",Natural Hair
"PARTIAL SEW IN, Sew-in Take down",Weaves
Beaded Row Extensions Consultation,Special Occasion Style
"Adult Hair Cut, Kid Cut",Men's Haircut
Eyelash extensions,Eyelashes
Men’s Haircut  With Clipper Shave (No Enhancements),Men's Haircut
Over It! Overlay- no extension,Manicure
"Bangs Highlight, Shampoo & Cut",Women's Haircut
WISPY Full Volume 3 Week touch up with Lash Bathl,Eyelashes
Mega Volume- Extreme fill,Eyelashes
Kids Hydration/Silk Press/Trim 5-15,Natural Hair
"Color Retouch, Women's Cut, B.B Split End Treatment","Hair Color, Women's Haircut"
"Color w/ Cut and Blowdry, brow wax, Lip Wax","Eyebrows, Waxing"
"Dimensional Color, Women's Cut",Women's Haircut
"ombre, trim, Blow Out (silk press)",Highlights
"Color Retouch, Color Finish, Toner",Hair Color
